author_id,alias_name
1,L. Gravano
1,Luis Gravano
2,P. Blaer
2,Paul S. Blaer
2,Paul Blaer
3,Christos Papadimitriou
3,C. H. Papadimitriou
3,C. H Papadimitriou
3,Christos Harilaos Papadimitriou
3,C H Papadimitriou
3,C. Papadimitriou
3,Christos H. Papadimitriou
4,A Cannon
4,A D Cannon
4,A. Cannon
4,Adam D. Cannon
6,M Yannakakis
6,M. Yannakakis
6,Mihalis Yannakakis
7,Marth Kim
7,Martha B. Kim
7,Martha Kim
9,D. A. Bauer
9,Daniel A. Bauer
9,Daniel Adams Bauer
9,Da Bauer
9,D A Bauer
9,Dan Bauer
9,D Bauer
9,Daniel Bauer
9,D.â€‰a. Bauer
9,D. Bauer
9,D.a. Bauer
10,David M. Blei
10,David Blei
10,D. Blei
10,David. Blei
10,David M Blei
11,Cheng-an Chien
11,C Wan Chien
11,Chi-shing F. Chien
11,Cary Chien
11,Chen-fu Chien
11,Chun-fan Chien
11,Chien-lin Chang Chien
11,C. Chien
11,C. F. Chien
13,Stephen W Edwards
13,S Edwards
13,Steven Edwards
13,Steven W Edwards
13,S W. Edwards
13,S.w. Edwards
13,Steve Edwards
13,S. W. Edwards
13,Steven W. Edwards
13,Steve W. Edwards
13,S W Edwards
13,Stephen W. Edwards
14,Steven K Feiner
14,S K Feiner
14,S Feiner
14,Steve Feiner
14,Steven Feiner
14,S. K. Feiner
14,S. Feiner
14,S.k. Feiner
15,Daniel K Hsu
15,D. Hsu
15,D.k. Hsu
15,D. K. Hsu
15,D K Hsu
15,Daniel K Hsu Hsu
15,Dan K. Hsu
15,Daniel Hsu
15,Daniel K. Hsu
15,Dan Hsu
16,David P. See Knowles
16,David Knowles
16,D. A. Knowles
16,D. Knowles
16,David A Knowles
18,Dan I. Rubenstein
18,Daniel I Rubenstein
18,Daniel Ian Rubenstein
18,D. I. Rubenstein
18,D I Rubenstein
18,Daniel I. Rubenstein
18,Dan Rubenstein
18,Daniel Rubenstein
19,Cliff Stein
19,C Stein
19,Cli Ord Stein
19,C. Stein
19,Clifford S. Stein
19,Clifford Stein
20,B. Stroustrup
20,Bjarne Stroustrup
21,C. Vondrick
